NamaPembeli,Kelamin,Menikah,Tanggungan,Pendidikan,Pekerjaan,PendapatanUtama,PemasukanTambahan,JenisProperti,NUP,BookingFee,BiayaRumahTanah,UangMuka,PeriodeCicilan,RiwayatPinjaman,PersetujuanPembelian
Pembeli 001,L,Tidak,0,Sarjana,POLRI-TNI,1jt s.d. <5jt,<1jt,Rumah,Ya,Ya,227000000,62000000,18,1,Ya
Pembeli 002,L,Ya,3+,SD,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,125000000,26000000,18,0,Ya
Pembeli 003,L,Ya,2,SMA,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Tidak,Ya,242000000,92000000,18,2+,Tidak
Pembeli 004,L,Ya,1,Sarjana,PNS,5jt s.d. <10jt,1jt s.d. <5jt,Rumah,Tidak,Ya,192000000,62000000,18,0,Ya
Pembeli 005,L,Tidak,0,SMP,Buruh Lepas,<1jt,0,Rumah,Ya,Ya,250000000,74000000,18,0,Ya
Pembeli 006,L,Ya,2,SMA,Wiraswasta,20jt s.d. <30jt,10jt s.d. <20jt,Rumah,Tidak,Ya,216000000,70000000,18,1,Ya
Pembeli 007,L,Ya,1,Pasca Sarjana,Pegawai Swasta,5jt s.d. <10jt,<1jt,Rumah,Ya,Ya,198000000,61000000,18,2+,Tidak
Pembeli 008,L,Ya,3+,Sarjana,Pegawai Swasta,5jt s.d. <10jt,<1jt,Tanah,Tidak,Ya,139000000,36000000,18,2,Ya
Pembeli 009,L,Ya,3,Sarjana,Wiraswasta,>30jt,1jt s.d. <5jt,Rumah,Tidak,Ya,233000000,85000000,18,0,Ya
Pembeli 010,L,Ya,1,Pasca Sarjana,Wiraswasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,115000000,30000000,18,2,Ya
Pembeli 011,L,Ya,3,Sarjana,Wiraswasta,>30jt,1jt s.d. <5jt,Rumah,Tidak,Ya,223000000,79000000,18,0,Ya
Pembeli 012,L,Ya,3,SMA,POLRI-TNI,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Ya,Ya,211000000,82000000,18,1,Ya
Pembeli 013,L,Ya,2,Pasca Sarjana,Wiraswasta,>30jt,1jt s.d. <5jt,Rumah,Ya,Ya,223000000,62000000,18,2,Ya
Pembeli 014,L,Tidak,0,SMA,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Tidak,Ya,118000000,21000000,18,2+,Ya
Pembeli 015,L,Ya,2,Sarjana,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Rumah,Tidak,Ya,241000000,88000000,12,2,Ya
Pembeli 016,L,Tidak,0,SMA,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Ya,Ya,237000000,68000000,18,2+,Tidak
Pembeli 017,L,Tidak,0,Sarjana,Wiraswasta,5jt s.d. <10jt,5jt s.d. <10jt,Rumah,Tidak,Ya,242000000,81000000,12,2+,Ya
